scenario,workers,iters,p50_ms,p90_ms,p99_ms,max_ms,ops_per_sec,errors
tx-hash,1,100,12.419,14.687,15.737,15.737,83.7,0
tx-hash,2,200,12.359,14.327,15.909,16.291,167.3,0
tx-hash,4,400,12.558,14.799,16.399,17.496,321.2,0
tx-hash,8,800,13.110,15.683,17.377,18.993,603.5,0
tx-hash,16,1600,14.226,17.169,18.812,21.457,1115.7,0
tx-hash,32,3200,21.362,28.624,34.253,47.034,1457.3,0
